week;geo;sex;age;n_deaths
52th Week 2023;11: Norte;M;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;1
;;;25-29 years;2
;;;30-34 years;0
;;;35-39 years;3
;;;40-44 years;8
;;;45-49 years;11
;;;50-54 years;20
;;;55-59 years;32
;;;60-64 years;50
;;;65-69 years;51
;;;70-74 years;62
;;;75-79 years;68
;;;80-84 years;93
;;;85-89 years;105
;;;90 or more years;87
;;F;0-4 years;2
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;1
;;;30-34 years;2
;;;35-39 years;1
;;;40-44 years;0
;;;45-49 years;1
;;;50-54 years;2
;;;55-59 years;10
;;;60-64 years;20
;;;65-69 years;20
;;;70-74 years;37
;;;75-79 years;53
;;;80-84 years;96
;;;85-89 years;123
;;;90 or more years;178
;16: Centro;M;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;1
;;;25-29 years;1
;;;30-34 years;0
;;;35-39 years;1
;;;40-44 years;3
;;;45-49 years;6
;;;50-54 years;5
;;;55-59 years;15
;;;60-64 years;20
;;;65-69 years;28
;;;70-74 years;39
;;;75-79 years;55
;;;80-84 years;86
;;;85-89 years;76
;;;90 or more years;74
;;F;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;0
;;;30-34 years;0
;;;35-39 years;2
;;;40-44 years;1
;;;45-49 years;4
;;;50-54 years;8
;;;55-59 years;5
;;;60-64 years;13
;;;65-69 years;17
;;;70-74 years;24
;;;75-79 years;35
;;;80-84 years;60
;;;85-89 years;116
;;;90 or more years;159
;17: Área Metropolitana de Lisboa;M;0-4 years;2
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;1
;;;25-29 years;1
;;;30-34 years;1
;;;35-39 years;7
;;;40-44 years;4
;;;45-49 years;9
;;;50-54 years;19
;;;55-59 years;13
;;;60-64 years;13
;;;65-69 years;26
;;;70-74 years;33
;;;75-79 years;69
;;;80-84 years;82
;;;85-89 years;68
;;;90 or more years;60
;;F;0-4 years;1
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;0
;;;30-34 years;1
;;;35-39 years;2
;;;40-44 years;0
;;;45-49 years;6
;;;50-54 years;3
;;;55-59 years;12
;;;60-64 years;16
;;;65-69 years;20
;;;70-74 years;29
;;;75-79 years;38
;;;80-84 years;84
;;;85-89 years;75
;;;90 or more years;112
;18: Alentejo;M;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;0
;;;30-34 years;1
;;;35-39 years;2
;;;40-44 years;2
;;;45-49 years;2
;;;50-54 years;2
;;;55-59 years;2
;;;60-64 years;12
;;;65-69 years;7
;;;70-74 years;13
;;;75-79 years;19
;;;80-84 years;16
;;;85-89 years;33
;;;90 or more years;23
;;F;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;0
;;;30-34 years;1
;;;35-39 years;0
;;;40-44 years;0
;;;45-49 years;4
;;;50-54 years;3
;;;55-59 years;2
;;;60-64 years;2
;;;65-69 years;6
;;;70-74 years;11
;;;75-79 years;18
;;;80-84 years;26
;;;85-89 years;43
;;;90 or more years;55
;15: Algarve;M;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;0
;;;30-34 years;0
;;;35-39 years;2
;;;40-44 years;1
;;;45-49 years;3
;;;50-54 years;2
;;;55-59 years;2
;;;60-64 years;7
;;;65-69 years;9
;;;70-74 years;20
;;;75-79 years;17
;;;80-84 years;12
;;;85-89 years;17
;;;90 or more years;10
;;F;0-4 years;1
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;0
;;;30-34 years;0
;;;35-39 years;1
;;;40-44 years;1
;;;45-49 years;0
;;;50-54 years;2
;;;55-59 years;1
;;;60-64 years;3
;;;65-69 years;1
;;;70-74 years;3
;;;75-79 years;7
;;;80-84 years;8
;;;85-89 years;15
;;;90 or more years;20
51th Week 2023;11: Norte;M;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;1
;;;25-29 years;1
;;;30-34 years;1
;;;35-39 years;5
;;;40-44 years;0
;;;45-49 years;17
;;;50-54 years;18
;;;55-59 years;24
;;;60-64 years;35
;;;65-69 years;40
;;;70-74 years;56
;;;75-79 years;67
;;;80-84 years;66
;;;85-89 years;62
;;;90 or more years;56
;;F;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;1
;;;25-29 years;2
;;;30-34 years;1
;;;35-39 years;3
;;;40-44 years;3
;;;45-49 years;3
;;;50-54 years;5
;;;55-59 years;11
;;;60-64 years;12
;;;65-69 years;25
;;;70-74 years;31
;;;75-79 years;53
;;;80-84 years;80
;;;85-89 years;85
;;;90 or more years;137
;16: Centro;M;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;1
;;;25-29 years;0
;;;30-34 years;3
;;;35-39 years;1
;;;40-44 years;3
;;;45-49 years;2
;;;50-54 years;5
;;;55-59 years;11
;;;60-64 years;16
;;;65-69 years;17
;;;70-74 years;26
;;;75-79 years;51
;;;80-84 years;51
;;;85-89 years;52
;;;90 or more years;64
;;F;0-4 years;0
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;0
;;;30-34 years;0
;;;35-39 years;0
;;;40-44 years;0
;;;45-49 years;2
;;;50-54 years;4
;;;55-59 years;6
;;;60-64 years;4
;;;65-69 years;11
;;;70-74 years;17
;;;75-79 years;27
;;;80-84 years;55
;;;85-89 years;84
;;;90 or more years;127
;17: Área Metropolitana de Lisboa;M;0-4 years;1
;;;5-9 years;0
;;;10-14 years;1
;;;15-19 years;1
;;;20-24 years;0
;;;25-29 years;2
;;;30-34 years;1
;;;35-39 years;2
;;;40-44 years;3
;;;45-49 years;10
;;;50-54 years;8
;;;55-59 years;13
;;;60-64 years;16
;;;65-69 years;34
;;;70-74 years;39
;;;75-79 years;44
;;;80-84 years;61
;;;85-89 years;75
;;;90 or more years;55
;;F;0-4 years;1
;;;5-9 years;0
;;;10-14 years;0
;;;15-19 years;0
;;;20-24 years;0
;;;25-29 years;0
;;;30-34 years;1
;;;35-39 years;0
;;;40-44 years;0
;;;45-49 years;4
;;;50-54 years;9
;;;55-59 years;10
;;;60-64 years;8
;;;65-69 years;16
;;;70-74 years;21
;;;75-79 years;32
;;;80-84 years;65
;;;85-89 years;92
;;;90 or more years;112
;18: Alentejo;M;0-4 years;0
;;;5-9 years;0
